label,predict,predict_prob
0,0,0.0054394766
0,0,5.4127284e-26
0,0,4.048e-42
0,0,3.0304637e-29
0,0,1.4162129e-26
1,0,4.0318396e-06
0,0,2.226655e-12
0,0,1.3601466e-26
0,0,6.3723e-20
0,0,4.616259e-08
1,0,0.00858105
0,0,0.04671302
0,0,1.6173716e-19
0,0,9.135579e-24
0,0,3.9125174e-16
0,0,1.640831e-19
1,0,2.5027708e-07
0,0,4.3265458e-26
0,0,2.141855e-09
1,1,0.9999989
0,0,3.3085082e-33
0,1,0.9850381
1,0,0.0019328714
0,0,1.1881583e-24
0,0,4.603124e-06
1,0,0.017851038
0,0,9.491344e-25
0,0,3.7674502e-27
1,0,0.003389194
0,0,2.4142832e-35
0,0,3.37685e-27
0,0,1.5981222e-24
0,0,6.890085e-39
0,0,2.861e-42
0,1,0.84614074
0,0,2.5965681e-20
0,0,2.0134787e-29
0,0,2.461496e-28
0,0,1.515775e-17
0,0,1.9031603e-24
0,0,8.68039e-40
0,0,2.3902279e-20
0,0,1.5956146e-14
0,0,9.9892604e-36
1,0,0.0022004503
1,0,1.4050995e-09
0,0,3.2877504e-17
0,0,4.1586942e-23
0,0,3.023709e-21
1,0,0.0034337998
1,0,2.6311482e-05
1,1,0.98858416
0,0,1.0241161e-31
0,0,9.180295e-24
0,0,0.17556153
0,0,3.8272256e-15
0,0,3.8407789e-25
0,0,9.114718e-11
0,0,0.00010082182
0,0,0.4545188
0,0,8.933744e-28
0,0,5.308801e-28
0,0,1.0383055e-30
0,0,3.5e-44
0,0,4.8335077e-31
0,0,1.794271e-22
0,0,1.3746244e-29
0,0,2.723139e-06
0,0,4.659527e-22
1,1,0.99999547
0,0,2.259826e-24
0,0,9.693397e-25
0,0,6.1230343e-22
0,0,3.802416e-14
1,0,2.1335968e-06
0,0,5.943082e-20
1,0,2.3551218e-06
0,0,3.25848e-40
0,0,3.9335075e-19
0,0,7.3668365e-05
0,0,0.0
0,0,6.996376e-38
0,0,1.4898524e-24
0,0,1.05784366e-07
0,0,1.0511976e-31
0,0,4.2968217e-20
1,0,0.01154029
0,0,1.70734e-40
1,0,0.4614198
0,0,8.859218e-28
0,0,1.5839913e-26
1,1,0.9991642
0,0,0.00029715366
0,0,3.831618e-25
