label,predict,predict_prob
0,0,0.0068848142
1,0,0.0007672493
1,0,2.8016462e-14
0,0,5.5243015e-36
0,1,0.9998091
0,0,7.651879e-28
0,0,7.5590965e-06
0,1,0.68438846
0,0,2.7956553e-34
0,0,1.8255496e-07
0,0,0.0
0,0,5.4176653e-11
0,0,1.3803346e-07
0,0,1.0629423e-34
0,0,1.6015528e-08
0,0,4.10752e-14
0,0,5.8979255e-23
0,0,1.1977433e-22
0,0,4.773714e-32
0,0,4.6664265e-08
0,0,2.6690234e-22
0,0,3.347593e-05
0,0,3.711236e-19
0,0,0.0
0,0,0.27471653
0,0,2.2355859e-32
0,0,1.8951008e-20
0,0,0.010102934
0,1,0.79722357
0,0,5.2334396e-20
0,0,0.01422262
0,0,9.541867e-12
0,0,4.3478834e-21
1,0,0.023863873
0,0,7.463466e-10
1,0,7.2870203e-09
1,1,0.9866366
0,0,1.877263e-21
0,0,4.9411224e-13
0,0,5.526512e-05
0,0,1.8314605e-08
1,1,0.9961713
0,0,0.00020676779
1,0,1.7027882e-05
0,0,0.0011261757
0,0,1.5944154e-11
0,0,3.489677e-07
0,0,0.019954605
0,0,0.0
0,1,0.922231
0,0,1.1850173e-31
0,0,4.413968e-33
0,0,0.00022084269
0,0,8.105037e-05
0,0,1.1418232e-36
0,0,1.11363e-40
0,0,1.3070177e-26
0,0,2.6443818e-33
1,0,0.00032884345
0,0,1.2261831e-24
0,0,3.7321556e-07
0,1,0.9490606
0,0,2.3930994e-05
0,0,2.9766356e-15
0,0,2.4302697e-05
0,0,3.9961862e-25
0,0,2.5383193e-05
0,0,0.21420911
0,0,1.8383957e-17
0,0,4.6048158e-24
0,0,1.95e-43
0,0,8.136961e-06
0,1,0.8728489
1,0,0.019306943
0,0,2.7455099e-17
0,0,4.2590083e-05
0,1,0.97820365
0,0,1.88758e-40
1,0,0.39549893
0,0,2.409975e-14
1,1,0.9999014
0,0,0.00017452503
0,0,4.6025412e-05
0,0,7.5136974e-22
1,0,2.2833963e-06
0,0,6.10756e-17
0,0,7.4895615e-14
1,0,9.2358925e-05
0,0,4.246815e-33
0,1,0.99490106
0,0,2.7098053e-05
0,0,8.803439e-26
0,0,1.2658192e-19
0,0,9.329985e-17
0,0,7.2118705e-20
1,1,0.7664556
1,0,0.00034550772
0,0,1.156338e-11
0,0,4.7347665e-21
0,0,9.4215864e-08
0,0,3.7359887e-22
0,0,3.5401e-41
0,0,3.5248163e-08
0,0,1.045006e-28
0,0,2.426771e-24
0,1,0.9639747
0,0,1e-45
0,0,1.074971e-20
0,0,1.6782227e-36
0,0,6.472719e-29
0,0,4.0436628e-17
0,0,0.0
0,1,0.98557043
1,0,0.00044564132
0,0,1.4591443e-29
0,0,4.3172125e-08
0,0,0.040407997
0,0,3.3404907e-11
0,0,1.9634785e-05
0,0,2.4050808e-13
0,0,7.3094613e-31
0,0,1.6545247e-29
0,0,9.3963576e-15
0,0,0.0073758448
0,0,1.0700463e-25
0,1,0.92512727
0,0,2.553275e-32
1,0,0.015148134
0,0,1.4941929e-27
0,0,0.010818785
0,0,2.9013194e-07
0,0,9.2268434e-05
0,0,3.87389e-40
1,0,0.08110549
0,0,9.009846e-16
0,0,4.7301763e-23
0,0,4.2919764e-06
0,0,2.0091774e-26
0,0,0.0
0,0,6.20386e-09
0,1,0.93711704
0,0,4.4526302e-17
0,0,1.1397e-41
0,0,1.272383e-28
1,0,0.005350334
0,0,3.203296e-06
0,0,3.3326735e-20
0,0,8.409598e-26
0,0,4.81857e-06
0,0,9.523841e-25
0,0,0.00010649334
0,0,1.2e-43
0,0,0.0016774316
0,0,8.6653114e-07
0,0,0.0
0,0,1.2032054e-07
0,0,0.0022093116
0,0,1.3354116e-12
0,0,5.927176e-39
0,0,9.127857e-29
0,0,1.9217699e-25
0,0,0.0
0,1,0.9983803
0,0,3.520385e-10
0,0,1.5e-43
0,0,3.5530015e-28
0,0,5.6939695e-28
0,0,4.6442708e-20
0,0,0.00022956297
0,0,7.5279895e-36
1,0,1.107036e-05
0,0,9.396168e-05
1,0,0.018363878
0,0,0.0
0,0,1.9055856e-25
0,0,1.2204594e-28
1,0,1.4106052e-19
0,0,3.1173804e-05
0,0,3.318327e-08
0,0,0.010970521
0,0,9.428387e-22
1,1,0.99999833
0,1,0.99729675
0,0,4.832612e-28
0,0,2.9731069e-05
1,0,8.6514255e-08
0,0,0.00018928721
0,0,6.6889354e-24
0,0,5.6412245e-14
1,1,0.99951625
0,0,0.00072405254
1,0,0.020308496
0,0,0.0
0,0,2.2e-44
1,0,0.00042356362
0,0,1.9243517e-33
1,0,0.0037365702
0,0,1.7249947e-36
0,0,2.1910538e-36
0,0,4.8329707e-32
0,0,5.978924e-26
0,0,9.393084e-25
1,0,0.29322782
0,0,6.796698e-19
1,1,0.52935344
0,0,0.061549075
0,1,0.9755298
0,0,1.0513454e-17
0,0,9.962841e-23
0,0,1.2499746e-08
0,0,2.044356e-10
0,0,0.019427162
0,0,0.0
1,0,0.00471086
0,0,6.093249e-39
0,0,3.1695424e-07
1,0,0.40821058
0,0,3.9860884e-06
0,0,1.321e-42
0,0,0.002372088
0,0,2.9433805e-16
0,0,2.7343788e-07
0,0,1.3530311e-26
0,0,5.898749e-11
1,0,0.029014874
0,0,1.2942614e-34
0,0,5.754765e-12
0,0,1.7296383e-23
0,0,2.4858608e-05
0,0,4.205e-42
0,0,2.2528602e-07
1,0,0.046471745
1,0,0.24885593
0,0,1.432109e-07
0,0,0.0042201285
0,0,2.7700235e-23
1,0,1.3053485e-11
0,1,0.99864477
0,0,1.8910044e-22
0,0,1.2378153e-12
1,0,6.3026285e-08
0,0,1.0399328e-11
0,0,7.3794808e-37
0,1,0.57190907
0,0,0.16693185
0,0,0.0031835835
0,0,0.18371561
0,0,9.71832e-07
0,0,7.265769e-21
0,0,0.001592149
1,0,6.2360405e-06
0,0,4.0029446e-10
0,0,5.649736e-31
0,0,1.9630641e-16
0,0,0.05765272
0,0,0.0010717307
0,0,1.4102337e-08
0,0,1.88e-43
0,0,1e-44
1,0,0.0601099
0,0,2.0310237e-07
0,0,4.0466e-40
0,0,5.5e-44
0,0,1.0806319e-21
0,0,6.048089e-25
0,0,7.822266e-34
1,0,0.06761249
0,0,2.4477285e-38
0,0,7.8660397e-35
0,0,4.523303e-31
0,0,1.4758015e-13
0,0,2.4219151e-32
0,0,1.061988e-30
0,0,5.4267193e-28
0,0,3.6390397e-18
0,1,0.757094
0,0,2.6256916e-21
0,0,0.24826236
1,0,0.09815952
0,0,0.33253905
1,0,0.17716682
0,0,7.125296e-05
0,0,1.1104335e-32
0,0,4.155e-42
0,1,0.7829087
0,0,1.2106443e-11
0,0,3.55515e-17
1,0,0.0006508311
0,0,0.015688526
0,0,5.9625576e-30
0,0,0.1828909
0,0,1.1e-44
0,1,0.99998987
0,0,3.4794527e-09
0,0,4.2724457e-07
1,0,1.2335833e-05
1,0,1.0921246e-06
0,0,0.07005856
0,0,2.0519468e-05
0,0,3.3614515e-13
0,0,3.8866545e-13
0,0,6.345275e-05
1,0,5.6035905e-08
0,0,3.9583954e-16
0,0,7.757769e-22
0,0,2.5337482e-36
0,0,6.5385455e-14
0,0,1.3319634e-10
0,0,3.400622e-20
0,1,0.9334273
0,0,5.2888393e-17
0,0,8.587008e-36
0,0,5.4006312e-15
0,0,0.00520115
0,0,0.0
0,0,5.136559e-06
0,0,9.948032e-05
0,0,0.00017032555
